gamma_0,gamma_1,gamma_0_se,gamma_1_se,gamma_0_tstat,gamma_1_tstat,gamma_0_pvalue,gamma_1_pvalue,r_squared,n_stocks,date
-1.5960001731725266,1.531831230764916,1.6030322758502242,2.165020874911739,-0.9956132494749877,0.7075364715951591,0.3205469886572447,0.47999234059105345,0.0023016388945577004,219,2021-01-31
1.7915281601682562,3.7556002676164044,1.7871047590666609,2.4136252072537414,1.0024751772827831,1.5559997701091224,0.31723068753616784,0.12116536412462885,0.011034193590510166,219,2021-02-28
9.601382434226075,-4.717330374656249,1.290932481249004,1.7435056125263166,7.437555854924758,-2.7056582673232117,2.355511032269123e-12,0.0073585673482116825,0.03263448428228921,219,2021-03-31
0.2731525011148446,3.160134097061966,1.1628486003273635,1.570518280884486,0.23489945383943114,2.012160021010541,0.81450827886525,0.04543924313413162,0.018316263969138546,219,2021-04-30
0.8437815705214591,2.457423276359993,1.1696300214909445,1.5796771222889325,0.7214089541288264,1.555649089099434,0.47143448892892914,0.12124877617234085,0.011029275372129832,219,2021-05-31
2.1767646226447113,-2.347314885157721,1.055391552314937,1.4253891056282337,2.062518520136068,-1.6467888493669611,0.04034913123422404,0.10104883671473416,0.012343042628052858,219,2021-06-30
2.2614503097000798,-0.9178908438424666,1.168466103114972,1.5781051591920965,1.9354008675744725,-0.581641114659543,0.054240583699947865,0.5614121586406644,0.0015565888585747922,219,2021-07-31
0.8231890970954588,1.8683941965458488,1.1406235531396638,1.5405016107074945,0.7217009457936937,1.2128479344385532,0.47125527599870776,0.22650663713290795,0.0067331596015822726,219,2021-08-31
0.30183250610719314,-4.2553503557303385,1.2239104331718975,1.6529870775271926,0.2466132307778121,-2.5743397595679847,0.8054406993519188,0.01070854024407611,0.02963514478987883,219,2021-09-30
1.7407014565206413,1.8136888870525778,1.2349341868080506,1.6678755218222379,1.4095499785457017,1.0874246089246706,0.1601041337561425,0.278055545795342,0.005419739538848556,219,2021-10-31
0.4085573733879464,-3.882127871562685,1.6078876443829195,2.1715784311051096,0.2540957229289139,-1.787698669297927,0.799662213174636,0.07522005181545066,0.014513744433718112,219,2021-11-30
7.272174480237491,-2.820986740142785,0.9704641979306604,1.310688049471729,7.4935010438757965,-2.1522945458149096,1.679895277503969e-12,0.03247794316880356,0.020901151641671167,219,2021-12-31
2.0708141555273634,-6.684889826115941,1.6744118113898818,2.261424538651384,1.2367412493396348,-2.9560525729956577,0.21751996510569663,0.0034604604414952243,0.03870964241829167,219,2022-01-31
-0.6622303406848038,-3.9751739421832384,1.3816061765232304,1.8659675529572828,-0.4793191807750065,-2.1303553407899165,0.6321942671536893,0.03426790930212221,0.020485900384440092,219,2022-02-28
5.839822120775214,-9.48905951553569,1.4590019218141999,1.9704965800446679,4.002614412949964,-4.815567614596209,8.599326164431044e-05,2.7520694066927256e-06,0.09654740513917104,219,2022-03-31
7.663501105554879,-14.263803811914876,1.156132244898839,1.5614473158607969,6.628567916316037,-9.134988844661407,2.6445746733927475e-10,4.7236738689868634e-17,0.27774528472842464,219,2022-04-30
-1.7296941251307114,3.6443439200166226,1.363482486390477,1.841490087307359,-1.268585509821765,1.9790190265674525,0.2059481092336473,0.04907832152950792,0.017728490259479757,219,2022-05-31
-0.6202008738665099,-12.528764821344078,1.062594240095265,1.435116900654451,-0.583666700292773,-8.730135374777227,0.5600507450529746,6.861906489695211e-16,0.25992938672459187,219,2022-06-30
1.4236708214806806,6.688190090120699,1.8536759733803372,2.5035348558794306,0.768025718585808,2.671498690906503,0.44330685510052226,0.008123986682856231,0.031841723019148005,219,2022-07-31
0.6854124375781742,-8.729920543838833,1.0388797164853394,1.4030885756933424,0.6597611125732732,-6.221931170328933,0.5101067580119842,2.4973578191022737e-09,0.15139048136438493,219,2022-08-31
-1.4614151007331606,-9.073664607421614,1.2306301237054704,1.6620625468719479,-1.1875339897684192,-5.45927987156592,0.23631530729543615,1.3018488353728493e-07,0.12075885524525132,219,2022-09-30
6.479757317050167,0.9853447937707488,1.4296776056374239,1.9308917900340865,4.532320637533633,0.5103055483773922,9.636654551191337e-06,0.6103560987268803,0.001198615756105359,219,2022-10-31
-2.1051320188860583,14.047807528049509,1.1792779891046485,1.592707459605792,-1.7851024426262312,8.82008019949028,0.07564144968779685,3.804236485238202e-16,0.2638922895919462,219,2022-11-30
-2.7185068575707727,0.6897368201883437,0.9330138788727645,1.2601084549408295,-2.913683192853658,0.5473630602857367,0.0039458065898177845,0.5846918300604648,0.0013787706514502007,219,2022-12-31
